"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물소유구분명","급수시설구분명","년도","다중이용업소여부","시설총규모","위생업종명","위생업태명","총종업원수","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"1","유리성휴게점","제주특별자치도 서귀포시 색달동 2950-23번지 ","","20150507","운영중","","","","","9.25","697808","","","2015","N","9.25","？？？？？？？？？","？？？？？？","","","145344.745089       ","-27778.4278422      ","6520000-104-2015-00034","영업"
"2","천제 푸드트럭","제주특별자치도 서귀포시 중문동 2232번지 ","제주특별자치도 서귀포시 천제연로 132 (중문동)","20150507","운영중","","","","","9.25","697858","","","2015","N","9.25","？？？？？？？？？","？？？？？？","","","145800.31158200000  ","-26575.72868090000  ","6520000-104-2015-00035","영업"
"3","중문푸드트럭","제주특별자치도 서귀포시 중문동 2232번지 ","제주특별자치도 서귀포시 천제연로 132 (중문동)","20150521","운영중","","","","","9.25","697858","","","2015","N","9.25","？？？？？？？？？","？？？？？？","","","145800.31158200000  ","-26575.72868090000  ","6520000-104-2015-00041","영업"
"4","스트린런치푸드트럭","제주특별자치도 서귀포시 중문동 2503번지 ","","20150609","운영중","","","","","8.89","697858","","","2015","N","8.89","？？？？？？？？？","？？？？？？","","","146303.630261       ","-27988.4057447      ","6520000-104-2015-00047","영업"
"5","팜랜드 푸드트럭","경기도 안성시 공도읍 신두리 451번지 ","경기도 안성시 공도읍 대신두길 28","20150529","운영중","","","","","1,760.00","456824","","상수도전용","2015","N","1760","휴게음식점","푸드트럭","","03180537952","217182              ","387539              ","4080000-104-2015-00029","영업"
"6","나사트레일러커피","경기도 화성시 봉담읍 하가등리 107-1번지 화성그린환경센터 주민편익시설 내 ","경기도 화성시 봉담읍 하가등안길 100 (화성그린환경센터 주민편익시설 내)","20151022","운영중","","","","","15.00","445903","","","2015","N","15","휴게음식점","푸드트럭","","","194467.07060900000  ","405790.78155500000  ","5530000-104-2015-00227","영업"
"7","시현이네(푸드트럭)","경기도 남양주시 이패동 산 87번지 남양주종합운동장내푸드트럭/실내체육관 정문광장 오른쪽 ","경기도 남양주시 강변북로 842 (이패동, 남양주종합운동장내푸드트럭/실내체육관 정문광장 오른쪽)","20151029","운영중","","","","","10.00","472926","","상수도전용","2015","N","10","휴게음식점","푸드트럭","","","215367              ","455869              ","3990000-104-2015-00191","영업"
"8","푸드트럭(악양둑방)","경상남도 함안군 법수면 윤외리 104-2번지 악양 둑방 내 ","경상남도 함안군 법수면 악양길 39","20151029","운영중","","","","","10.00","637833","","","2015","N","10","휴게음식점","푸드트럭","","","326130.34332500000  ","204576.34623100000  ","5400000-104-2015-00023","영업"
"9","부여커피푸드트럭","충청남도 부여군 규암면 반산리 172번지 ","충청남도 부여군 규암면 백제문로 387","20151029","운영중","","","","","10.00","323813","","","2015","N","10","휴게음식점","푸드트럭","","","191194.64857200000  ","312134.29476400000  ","4570000-104-2015-00025","영업"
"10","어바웃커피","대전광역시 유성구 봉명동 700번지 갑천변 ","","20160510","운영중","","","","","4.16","305301","","상수도전용","2016","N","4.16","휴게음식점","푸드트럭","","","231393.808699       ","317153.122152       ","3670000-104-2016-00060","영업"
"11","경천대 푸드트럭 휴게소","경상북도 상주시 사벌면 삼덕리 3-3번지 ","","20141217","운영중","","","","","","742961","","","","","","","","","054 536 3686","311466.334003       ","328936.03777        ","5110000-104-2014-00031","영업"
"12","쉼터작은공간","인천광역시 계양구 평동 23-12번지 경인아라뱃길푸드트럭 일반존I(인천) 벌말교7 ","","20160526","운영중","","","","","15.00","407400","","","2016","N","15","휴게음식점","푸드트럭","","","179839.117678       ","453461.375742       ","3550000-104-2016-00062","영업"
"13","호끌락","제주특별자치도 제주시 건입동 505-2번지 일원 ","","20160511","운영중","","","","","12.00","690800","","","2016","N","12","휴게음식점","푸드트럭","","001083661806","157885.153647       ","2233.19708461       ","6510000-104-2016-00148","영업"
"14","Cafe solo(카페솔로)","인천광역시 서구 시천동 119-4번지 시천교8 ","","20160518","운영중","","","","","15.00","404150","","","2016","N","15","휴게음식점","푸드트럭","","","172094.367273       ","452084.099823       ","3560000-104-2016-00081","영업"
"15","브라움카페","대구광역시 중구 대봉동 0214-0031번지 신천둔치 푸드트럭 제2호 ","","20160715","운영중","","","","","5.40","700811","","","2016","N","5.4","휴게음식점","푸드트럭","","","345072.319578       ","262929.067616       ","3410000-104-2016-00192","영업"
"16","카페소풍","경기도 화성시 남양읍 남양리 2060번지 푸드트럭 ","","20160801","운영중","","","","","","445851","","","2016","N","0","휴게음식점","푸드트럭","","","184898.59205        ","411151.432611       ","5530000-104-2016-00282","영업"
"17","하이5이브","서울특별시 영등포구 여의도동 8번지 ","서울특별시 영등포구 여의동로 330 (여의도동, 여의도 한강공원 물빛광장(89주9836))","20160721","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00284","영업"
"18","스타빅","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(92버7441) ","서울특별시 영등포구 여의동로 330 (여의도동, 여의도한강공원 물빛광장(92버7441))","20160721","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00286","영업"
"19","냠냠쩝쩝","강원도 평창군 대관령면 134-1번지 대관령눈꽃축제장 ","강원도 평창군 대관령면 사부랑길 62-2 (대관령눈꽃축제장)","20160721","운영중","","","","","9.00","232950","","","2016","N","9","휴게음식점","푸드트럭","","","351050.74802300000  ","467410.01118300000  ","3180000-104-2016-00289","영업"
"20","철수네","강원도 춘천시 소양로3가 171-1번지 (꿈자람 물정원 내) ","","20160721","운영중","","","","","10.00","200113","","상수도전용","2016","N","10","휴게음식점","푸드트럭","","","263335.482204       ","486748.484684       ","4180000-104-2016-00126","영업"
"21","닥가게(80로4845)","서울특별시 마포구 성산동 390-1번지 ","서울특별시 마포구 월드컵로 243-48 (성산동, 평화의공원내)","20161006","운영중","","","","","10.00","121850","","","2016","N","10","휴게음식점","푸드트럭","","","190980.13383800000  ","451531.59051000000  ","3130000-104-2016-00325","영업"
"22","슈퍼스트라이크","","서울특별시 영등포구 여의동로 343 (여의도동, (98러2576))","20160823","운영중","","","","","9.00","","","","2016","N","9","휴게음식점","푸드트럭","","","194065.63500800000  ","447512.33888900000  ","3180000-104-2016-00322","영업"
"23","그란디","광주광역시 동구 대의동 신서석로 일원 ","","20160926","운영중","","","","","10.00","501050","","","2016","N","10","휴게음식점","푸드트럭","","","","","3590000-104-2016-00058","영업"
"24","크라켄","광주광역시 동구 대의동 신서석로 일원 ","","20160929","운영중","","","","","10.00","501050","","","2016","N","10","휴게음식점","푸드트럭","","","","","3590000-104-2016-00057","영업"
"25","옥타곤스테이크","광주광역시 동구 대의동 신서석로 일원 ","","20160929","운영중","","","","","10.00","501050","","","2016","N","10","휴게음식점","푸드트럭","","","","","3590000-104-2016-00060","영업"
"26","디저트팩토리","광주광역시 동구 대의동 신서석로 일원 ","","20160929","운영중","","","","","10.00","501050","","","2016","N","10","휴게음식점","푸드트럭","","","","","3590000-104-2016-00061","영업"
"27","착한고로케앤츄러스","광주광역시 동구 대의동 신서석로 일원 ","","20160929","운영중","","","","","10.00","501050","","","2016","N","10","휴게음식점","푸드트럭","","","","","3590000-104-2016-00062","영업"
"28","모험이의 푸드트럭","","충청북도 청주시 흥덕구 직지대로 713 (운천동, 직지코리아 국제페스티벌)","20160829","운영중","","","","","","","","","2016","N","0","휴게음식점","푸드트럭","","","242233.60146000000  ","349685.26971100000  ","5730000-104-2016-00078","영업"
"29","국가대표 트럭","서울특별시 성동구 사근동 110번지 ","서울특별시 성동구 왕십리로 222, 1층 (사근동, 한양대학교 생활과학대학교앞(92주6464))","20160829","운영중","","","","","10.00","133817","","","2016","N","10","휴게음식점","푸드트럭","","001086441029","204410.37308000000  ","451211.86396500000  ","3030000-104-2016-00135","영업"
"30","마리오트럭","경기도 수원시 팔달구 팔달로2가 48번지 외2필지 팔달문시장 내 차없는거리 ","","20160927","운영중","","","","","","442022","","","2016","N","0","휴게음식점","푸드트럭","","","","","3770000-104-2016-00126","영업"
"31","사랑을 볶는 카페","경상남도 사천시 용현면 금문리 367-6번지 ","경상남도 사천시 용현면 석양길 500","20160922","운영중","","","","","3.51","664952","","상수도전용","2016","N","3.51","휴게음식점","푸드트럭","","","295595.64697100000  ","168636.37495000000  ","5340000-104-2016-00029","영업"
"32","엄마네푸드","","경기도 과천시 경마공원대로 107 (과천동, 마사회)","20161116","운영중","","","","","15.00","","","","2016","N","15","휴게음식점","푸드트럭","","","201930.71014400000  ","439084.24582200000  ","3970000-104-2016-00082","영업"
"33","옛날풀빵","세종특별자치시 연기면 세종리 1201번지 ","세종특별자치시 연기면 다솜로 216","20161005","운영중","","","","","11.06","339821","","","","","","","","","","224200.52434800000  ","333429.26358700000  ","5690000-104-2016-00125","영업"
"34","시장주스","세종특별자치시 연기면 세종리 1201번지 ","세종특별자치시 연기면 다솜로 216","20161005","운영중","","","","","7.18","339821","","","2016","N","7.18","휴게음식점","푸드트럭","","","224200.52434800000  ","333429.26358700000  ","5690000-104-2016-00126","영업"
"35","스트리트듀오","세종특별자치시 연기면 세종리 1201번지 ","세종특별자치시 연기면 다솜로 216","20161005","운영중","","","","","9.47","339821","","","","","","","","","","224200.52434800000  ","333429.26358700000  ","5690000-104-2016-00127","영업"
"36","밍스트럭","세종특별자치시 연기면 세종리 1201번지 ","세종특별자치시 연기면 다솜로 216","20161005","운영중","","","","","13.39","339821","","","","","","","","","","224200.52434800000  ","333429.26358700000  ","5690000-104-2016-00128","영업"
"37","커피투어","세종특별자치시 연기면 세종리 1201번지 ","세종특별자치시 연기면 다솜로 216","20161005","운영중","","","","","9.62","339821","","","","","","","","","","224200.52434800000  ","333429.26358700000  ","5690000-104-2016-00130","영업"
"38","그양반네","세종특별자치시 연기면 세종리 1201번지 ","세종특별자치시 연기면 다솜로 216","20161005","운영중","","","","","8.87","339821","","","","","","","","","","224200.52434800000  ","333429.26358700000  ","5690000-104-2016-00131","영업"
"39","탄이네 순대곱창","세종특별자치시 연기면 세종리 1201번지 ","세종특별자치시 연기면 다솜로 216","20161005","운영중","","","","","4.96","339821","","","","","","","","","","224200.52434800000  ","333429.26358700000  ","5690000-104-2016-00132","영업"
"40","드림푸드트럭","세종특별자치시 연기면 세종리 1201번지 ","세종특별자치시 연기면 다솜로 216","20161005","운영중","","","","","14.98","339821","","","","","","","","","","224200.52434800000  ","333429.26358700000  ","5690000-104-2016-00133","영업"
"41","고흥푸드트럭 1호점","전라남도 고흥군 고흥읍 호형리 914번지 ","전라남도 고흥군 고흥읍 고흥로 1892-67","20161121","운영중","","","","","","548804","","","2016","N","0","휴게음식점","푸드트럭","","","227543.26276700000  ","124483.30738400000  ","4880000-104-2016-00011","영업"
"42","수성랜드 회오리","대구광역시 수성구 상동 725번지 ","대구광역시 수성구 용학로 35-5 (상동, 수성랜드 내)","20161110","운영중","","","","","9.90","706830","","","2016","N","9.9","휴게음식점","푸드트럭","","","345812.79778500000  ","260031.00791800000  ","3460000-104-2016-00174","영업"
"43","로망","인천광역시 계양구 평동 35-1번지 아라뱃길 푸드트럭 일반zoneⅰ(인천)(벌말교6) ","","20161110","운영중","","","","","15.00","407400","","","2016","N","15","휴게음식점","푸드트럭","","","179784.936888       ","453377.899341       ","3550000-104-2016-00142","영업"
"44","앵강푸드","경상남도 남해군 이동면 무림리 260번지 앵강소공원 내 ","","20161110","운영중","","","","","10.00","668811","","","2016","N","10","휴게음식점","푸드트럭","","","287926.321846       ","143275.904448       ","5430000-104-2016-00023","영업"
"45","펀트레일러푸드","경기도 안양시 동안구 관양동 1590번지 안양시청 민원실 앞 주차장 ","경기도 안양시 동안구 시민대로 235 (관양동, 안양시청 민원실 앞 주차장)","20170323","운영중","","","","","7.00","431728","","","2017","N","7","휴게음식점","푸드트럭","","","196311.75392500000  ","432851.11881700000  ","3850000-104-2017-00029","영업"
"46","소담푸드트럭","경기도 평택시 장안동 353번지 국제대학교내 ","경기도 평택시 장안웃길 56 (장안동, 국제대학교내)","20170314","운영중","","","","","10.00","459721","","상수도전용","2017","N","10","휴게음식점","푸드트럭","","","207308.60863600000  ","396358.15728700000  ","3910029-104-2017-00016","영업"
"47","쿠마쿠마","대구광역시 수성구 상동 725번지 수성랜드 내 ","대구광역시 수성구 용학로 35-5 (상동, 수성랜드 내)","20170323","운영중","","","","","3.30","706830","","","2017","N","3.3","휴게음식점","푸드트럭","","","345812.79778500000  ","260031.00791800000  ","3460000-104-2017-00066","영업"
"48","펀푸드트럭(FUNFOODTRUCK)","대구광역시 수성구 상동 725번지 수성랜드 ","대구광역시 수성구 용학로 35-5 (상동, 수성랜드)","20170323","운영중","","","","","3.30","706830","","","2017","N","3.3","휴게음식점","푸드트럭","","","345812.79778500000  ","260031.00791800000  ","3460000-104-2017-00067","영업"
"49","셰프리","대전광역시 대덕구 미호동 43번지 동편 잔디광장 일원 ","","20170407","운영중","","","","","5.26","306180","","","2017","N","5.26","휴게음식점","푸드트럭","","02  22193222","242610.359431       ","330429.569242       ","3680000-104-2017-00026","영업"
"50","후후","경상북도 칠곡군 석적읍 중지리 552번지 ","","20170330","운영중","","","","","20.00","718832","","","2017","N","20","휴게음식점","푸드트럭","","","326233.038151       ","280668.701278       ","5220000-104-2017-00016","영업"
"51","착햄","서울특별시 영등포구 여의도동 86-7번지 여의도한강공원민속놀이마당(83모7926) ","","20170406","운영중","","","","","9.00","150897","","","2017","N","9","휴게음식점","푸드트럭","","","194794.056976       ","446552.633063       ","3180000-104-2017-00101","영업"
"52","될놈","제주특별자치도 서귀포시 동홍동 2150-2번지 앞(도로(2150-1) ","","20170328","운영중","","","","","9.46","697839","","","2017","N","9.46","휴게음식점","푸드트럭","","","158553.903719       ","-22643.9511687      ","6520000-104-2017-00045","영업"
"53","나팔수의커피이야기","부산광역시 북구 만덕동 843번지 백양공원(산책로5) ","","20170419","운영중","","","","","10.00","616827","","전용상수도(특정시설의 자가용 수도)","2017","N","10","휴게음식점","푸드트럭","","","385412.047995       ","191612.600027       ","3320000-104-2017-00024","영업"
"54","브라더스하우스","경기도 수원시 팔달구 팔달로2가 48번지 외2필지 차없는거리 및 지동교 ","","20170313","운영중","","","","","","442022","","","2017","N","0","휴게음식점","푸드트럭","","","","","3770000-104-2017-00033","영업"
"55","얌박스","경기도 수원시 팔달구 팔달로2가 48번지 외2필지 차없는거리 및 지동교 ","","20170313","운영중","","","","",".00","442022","","","2017","N","0","휴게음식점","푸드트럭","","","","","3770000-104-2017-00034","영업"
"56","솔오름푸드트럭","제주특별자치도 서귀포시 동홍동 2150-2번지 앞 도로(2150-1) ","","20170404","운영중","","","","","8.89","697839","","","2017","N","8.89","휴게음식점","푸드트럭","","","158553.903719       ","-22643.9511687      ","6520000-104-2017-00054","영업"
"57","에이비트럭","제주특별자치도 제주시 일도이동 852번지 ","제주특별자치도 제주시 동광로 69 (일도이동)","20170420","운영중","","","","","9.90","690834","","","2017","N","9.9","휴게음식점","푸드트럭","","","156882.77372200000  ","1297.36176773000    ","6510000-104-2017-00157","영업"
"58","밤차 (밤에돌아다니는야식차)","대전광역시 유성구 봉명동 55-2번지 갑천변 둔치 (하천) ","","20170426","운영중","","","","","","305301","","","2017","N","0","휴게음식점","푸드트럭","","","231457.857542       ","317129.939854       ","3670000-104-2017-00098","영업"
"59","이지스테이크","대전광역시 유성구 봉명동 55-2번지 ,갑천변 둔치 (하천) ","","20170426","운영중","","","","","","305301","","","2017","N","0","휴게음식점","푸드트럭","","","231457.857542       ","317129.939854       ","3670000-104-2017-00099","영업"
"60","길또랑","대전광역시 유성구 봉명동 701번지 , 갑천변 진입로 (공원) ","","20170426","운영중","","","","","","305301","","","2017","N","0","휴게음식점","푸드트럭","","","231363.936997       ","317075.178443       ","3670000-104-2017-00100","영업"
"61","사이공 패밀리","대전광역시 유성구 봉명동 572번지 , 청주해장국 이면도로 (도로) ","","20170426","운영중","","","","","","305301","","","2017","N","0","휴게음식점","푸드트럭","","","231009.553639       ","317332.645996       ","3670000-104-2017-00101","영업"
"62","토스트와더치카페","제주특별자치도 서귀포시 표선면 가시리 산 158-4번지 ","","20170403","운영중","","","","","9.17","699911","","","2017","N","9.17","휴게음식점","푸드트럭","","","170642.058805       ","-11252.7008495      ","6520000-104-2017-00053","영업"
"63","비에이치씨치킨대전야구장점푸드트럭","대전광역시 중구 부사동 209-1번지 이글스파크내, 82가7052 ","대전광역시 중구 대종로 373 (부사동, 이글스파크내, 82가7052)","20170403","운영중","","","","","9.10","301815","","","2017","N","0","휴게음식점","푸드트럭","","","238865.75134300000  ","313416.98946200000  ","3650000-104-2017-00037","영업"
"64","냠냠떡볶이","서울특별시 서초구 양재동 316-10번지 양재시민의숲 3번출구 앞 ","","20170403","운영중","","","","","10.00","137896","","","2017","N","10","휴게음식점","푸드트럭","","","203431.158612       ","440832.31677        ","3210000-104-2017-00130","영업"
"65","드림푸드","세종특별자치시 조치원읍 평리 120번지 ","","20170331","운영중","","","","","8.84","339885","","","2017","N","8.84","휴게음식점","푸드트럭","","","226995.574811       ","345004.919226       ","5690000-104-2017-00049","영업"
"66","팬더그릴(Pan the grill)","서울특별시 영등포구 여의도동 8번지 물빛광장(89모1083) ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장(89모1083))","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00059","영업"
"67","까리한청년들","서울특별시 영등포구 여의도동 8번지 물빛광장(85머5112) ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장(85머5112))","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00061","영업"
"68","오빠트럭","서울특별시 영등포구 여의도동 8번지 물빛광장80다9996 ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장80다9996)","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00062","영업"
"69","톡투미다밥협동조합","서울특별시 영등포구 여의도동 8번지 물빛광장94보4365 ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장94보4365)","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","070 77847579","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00063","영업"
"70","러브디아","서울특별시 영등포구 여의도동 8번지 물빛광장86모8836 ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장86모8836)","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00064","영업"
"71","욜로(YOLO)","서울특별시 영등포구 여의도동 8번지 물빛광장(경기86거3455) ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장(경기86거3455))","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00065","영업"
"72","멕시드라이버","서울특별시 영등포구 여의도동 8번지 물빛광장80우6569 ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장80우6569)","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00066","영업"
"73","더트럭오브서프독","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(80거1831) ","서울특별시 영등포구 여의동로 330 (여의도동, 여의도한강공원 물빛광장(80거1831))","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00067","영업"
"74","판타스테이크","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(86버7752) ","서울특별시 영등포구 여의동로 330 (여의도동, 여의도한강공원 물빛광장(86버7752))","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00068","영업"
"75","무빙키친","서울특별시 영등포구 여의도동 8번지 물빛광장87오8974 ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장87오8974)","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","02 9721011","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00070","영업"
"76","업스키친","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(89구4348) ","서울특별시 영등포구 여의동로 330 (여의도동, 여의도한강공원 물빛광장(89구4348))","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00075","영업"
"77","춘천가는기차","서울특별시 영등포구 여의도동 8번지 물빛공원91주1390 ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛공원91주1390)","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00072","영업"
"78","키다리푸드트럭","서울특별시 영등포구 여의도동 8번지 ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장 82부 9085)","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00073","영업"
"79","불빠닭","서울특별시 영등포구 여의도동 8번지 물빛광장91노3305 ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장91노3305)","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","18007981","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00074","영업"
"80","트럭에이(TRUCK A)","서울특별시 영등포구 여의도동 8번지 물빛광장 80더8431 ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장 80더8431)","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00077","영업"
"81","츄러스홀릭","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(91도 4343) ","서울특별시 영등포구 여의동로 330 (여의도동, 여의도한강공원 물빛광장(91도 4343))","20170411","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00105","영업"
"82","타이거로","울산광역시 중구 성남동 201번지 성남둔치 ","","20170322","운영중","","","","","8.00","681812","","","2017","N","8","휴게음식점","푸드트럭","","","410052.648842       ","230575.007524       ","3690000-104-2017-00028","영업"
"83","알키미아","서울특별시 종로구 서린동 55-2번지 청계천로 보행전용거리 ","","20170322","운영중","","","","","4.90","110110","","","2017","N","4.9","휴게음식점","푸드트럭","","","198266.902096       ","451873.737743       ","3000000-104-2017-00059","영업"
"84","랜드마크 (LANDMARK)","서울특별시 종로구 서린동 55-2번지 청계천로보행자전용거리 ","","20170322","운영중","","","","","9.00","110110","","","2017","N","9","휴게음식점","푸드트럭","","","198266.902096       ","451873.737743       ","3000000-104-2017-00060","영업"
"85","스테이킹","서울특별시 종로구 서린동 55-2번지 청계천로 보행전용거리 ","","20170322","운영중","","","","","11.20","110110","","","2017","N","11.2","휴게음식점","푸드트럭","","","198266.902096       ","451873.737743       ","3000000-104-2017-00063","영업"
"86","고릴라바베큐","서울특별시 종로구 서린동 43-3번지 청계천로 보행전용거리 ","","20170322","운영중","","","","","11.20","110110","","","2017","N","11.2","휴게음식점","푸드트럭","","","198332.884663       ","451862.244367       ","3000000-104-2017-00064","영업"
"87","Bro","서울특별시 종로구 서린동 43-3번지 청계천로 보행전용거리 ","","20170322","운영중","","","","","10.00","110110","","","2017","N","10","휴게음식점","푸드트럭","","","198332.884663       ","451862.244367       ","3000000-104-2017-00065","영업"
"88","허클베리핀","서울특별시 종로구 서린동 43-3번지 청계천로 보행전용거리 ","","20170322","운영중","","","","","10.00","110110","","","2017","N","10","휴게음식점","푸드트럭","","","198332.884663       ","451862.244367       ","3000000-104-2017-00066","영업"
"89","고메트럭","서울특별시 영등포구 여의도동 8번지 물빛광장(99더1881) ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장(99더1881))","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00054","영업"
"90","세자매푸드트레일러","서울특별시 영등포구 여의도동 8번지 물빛광장(84어0527) ","서울특별시 영등포구 여의동로 330 (여의도동, 물빛광장(84어0527))","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00055","영업"
"91","그릴마스터","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장 ","서울특별시 영등포구 여의동로 330, 여의도한강공원 물빛광장 (여의도동)","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00056","영업"
"92","멜츠비(MELTSBY)","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(87무7813) ","서울특별시 영등포구 여의동로 330 (여의도동, 여의도한강공원 물빛광장(87무7813))","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00057","영업"
"93","문어빵제작소","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(81다8757) ","서울특별시 영등포구 여의동로 330 (여의도동, 여의도한강공원 물빛광장(81다8757))","20170322","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00058","영업"
"94","너에게꼬치리","충청남도 공주시 웅진동 360번지 ","충청남도 공주시 관광단지길 34 (웅진동)","20170501","운영중","","","","","4.89","314020","","","2017","N","4.89","휴게음식점","푸드트럭","","","210128.69715900000  ","329817.17852200000  ","4500000-104-2017-00027","영업"
"95","고고치면","충청남도 아산시 풍기동 337-6번지 외 필지(이순신종합운동자 이벤트존) ","충청남도 아산시 남부로 370-24 (풍기동, 이순신종합운동장 이벤트존)","20170501","운영중","","","","","11.70","336060","","","2017","N","11.7","휴게음식점","푸드트럭","","","201937.34893800000  ","363288.70087000000  ","4520000-104-2017-00048","영업"
"96","쿠마쿠마","부산광역시 부산진구 초읍동 645-1번지 어린이대공원 제1주차장 ","","20170517","운영중","","","","","10.00","614080","","","2017","N","10","휴게음식점","푸드트럭","","","386246.121105       ","188942.160499       ","3290000-104-2017-00079","영업"
"97","네바퀴피자","충청남도 아산시 배방읍 세출리 165번지 호서대학교 아산캠퍼스 정문~중앙잔디광장 ","충청남도 아산시 배방읍 호서로79번길 20 (호서대학교 아산캠퍼스 정문~중앙잔디광장)","20170517","운영중","","","","","9.20","336795","","","2017","N","9.2","휴게음식점","푸드트럭","","","206970.96650400000  ","360177.17637900000  ","4520000-104-2017-00054","영업"
"98","트리플럭키","충청남도 아산시 배방읍 세출리 165번지 호서대학교 아산캠퍼스 정문~중앙잔디광장 ","충청남도 아산시 배방읍 호서로79번길 20 (호서대학교 아산캠퍼스 정문~중앙잔디광장)","20170517","운영중","","","","","9.29","336795","","","2017","N","9.29","휴게음식점","푸드트럭","","","206970.96650400000  ","360177.17637900000  ","4520000-104-2017-00055","영업"
