"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물소유구분명","급수시설구분명","년도","다중이용업소여부","시설총규모","위생업종명","위생업태명","총종업원수","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"1308","만항재쉼터","강원도 정선군 고한읍 고한리 산 215-3번지 ","","20170612","운영중","","","","","15.00","233811","","상수도전용","2017","N","15","휴게음식점","푸드트럭","","","369015.102347       ","407384.319848       ","4290000-104-2017-00019","영업"
"1309","엉클스쿡","강원도 춘천시 동면 장학리 450번지 외1필지 ","강원도 춘천시 동면 춘천순환로 901 (신북농협로컬푸드직매장 주차장내)","20170814","운영중","","","","","10.00","200853","","","2017","N","10","휴게음식점","푸드트럭","","","265871              ","490937              ","4180000-104-2017-00097","영업"
"1310","헝그릴즈(킨텍스전시장)","경기도 고양시 일산서구 대화동 2700번지 킨텍스제2전시장 10홀 일부 ","경기도 고양시 일산서구 킨텍스로 217-59 (대화동, 킨텍스제2전시장 10홀 일부)","20170614","운영중","","","","","","411766","","","2017","N","0","휴게음식점","푸드트럭","","","177161              ","462668              ","4100100-104-2017-00142","영업"
"1311","오센","서울특별시 마포구 성산동 533-1번지 마포농수산물시장내 ","서울특별시 마포구 월드컵로 235 (성산동, 마포농수산물시장내)","20170904","운영중","","","","","11.50","121849","","","2017","N","11.5","휴게음식점","푸드트럭","","","191031.13794300000  ","451745.28087500000  ","3130000-104-2017-00326","영업"
"1312","길카페","전라남도 무안군 일로읍 산정리 842-5번지 ","전라남도 무안군 일로읍 백련로 339-20","20170710","운영중","","","","","10.00","534902","","","2017","N","10","휴게음식점","푸드트럭","","","156789.89017400000  ","151978.22599900000  ","4950000-104-2017-00033","영업"
"1313","달인꽈배기  푸드트럭","","충청남도 계룡시 신도안면 계룡대로 663","20170904","운영중","","","","","9.18","","","","2017","N","9.18","휴게음식점","푸드트럭","","","","","5580000-104-2017-00019","영업"
"1314","카페나베타","전라북도 남원시 월락동 248번지 ","전라북도 남원시 충정로 341 (월락동, 춘향골체육공원)","20170725","운영중","","","","","10.00","590200","","상수도전용","2017","N","10","휴게음식점","푸드트럭","","","236834.52789500000  ","215122.04836500000  ","4700000-104-2017-00027","영업"
"1315","(주)한평의꿈","서울특별시 마포구 성산동 533-1번지 ","서울특별시 마포구 월드컵로 235 (성산동, 마포농수산물시장내)","20170922","운영중","","","","","11.50","121849","","","2017","N","11.5","휴게음식점","푸드트럭","","","191031.13794300000  ","451745.28087500000  ","3130000-104-2017-00354","영업"
"1316","청정구역","서울특별시 마포구 성산동 533-1번지 ","서울특별시 마포구 월드컵로 235 (성산동, 마포농수산물시장내)","20170922","운영중","","","","","11.50","121849","","","2017","N","11.5","휴게음식점","푸드트럭","","","191031.13794300000  ","451745.28087500000  ","3130000-104-2017-00355","영업"
"1317","K-이지스테이크","서울특별시 서초구 양재동 25번지 서초문화예술회관 주차장 ","서울특별시 서초구 강남대로 201 (양재동, 서초문화예술회관 주차장)","20170919","운영중","","","","","10.00","137889","","","2017","N","10","휴게음식점","푸드트럭","","","203180.32062400000  ","442488.39803900000  ","3210000-104-2017-00413","영업"
"1318","판다멀","경상남도 창녕군 남지읍 남지리 835-16번지 ","","20170919","운영중","","","","","2.62","635903","","","2017","N","2.62","휴게음식점","푸드트럭","","","333856.783371       ","210456.823501       ","5410000-104-2017-00026","영업"
"1319","꼬치 온더 그릴(KKOCHI on the GRILL)","","경기도 평택시 장안웃길 149 (이충동, 이충레포츠공원입구)","20170726","운영중","","","","","15.00","","","상수도전용","2017","N","15","휴게음식점","푸드트럭","","","206288.59357000000  ","396346.27577500000  ","3910029-104-2017-00057","영업"
"1320","슈(shu)","경기도 하남시 신장동 27번지 일원 ","","20170613","운영중","","","","","10.00","465809","","","2017","N","10","휴게음식점","푸드트럭","","","219335.121353       ","449395.843964       ","4040000-104-2017-00058","영업"
"1321","온더키친","경기도 연천군 전곡읍 전곡리 705-2번지 한탄강 세계 캠핑장 ","","20170801","운영중","","","","","9.16","486903","","상수도전용","2017","N","9.16","휴게음식점","푸드트럭","","","205435.465591       ","500534.651265       ","4140000-104-2017-00014","영업"
"1322","폰버거(pornburger)","서울특별시 양천구 목동 917-6번지 행복한세상백화점 ","서울특별시 양천구 목동동로 309 (목동, 행복한세상백화점)","20170818","운영중","","","","","10.00","158721","","","2017","N","10","휴게음식점","푸드트럭","","","189040.29024500000  ","447745.90113700000  ","3140000-104-2017-00135","영업"
"1323","쟌스키친","강원도 춘천시 동면 장학리 450번지 ","강원도 춘천시 동면 춘천순환로 901 (신북농협 로컬푸드 직매장 주차장내)","20170818","운영중","","","","","8.90","200853","","","2017","N","8.9","휴게음식점","푸드트럭","","","265871              ","490937              ","4180000-104-2017-00099","영업"
"1324","쉬림프온더스트리트","서울특별시 종로구 세종로 1-68번지 ","서울특별시 종로구 세종대로 지하 172 (세종로)","20170817","운영중","","","","","9.00","110820","","","2017","N","9","휴게음식점","푸드트럭","","","197949.42580200000  ","452453.63418600000  ","3000000-104-2017-00166","영업"
"1325","쿡스테이크","서울특별시 종로구 세종로 1-68번지 ","서울특별시 종로구 세종대로 지하 172 (세종로)","20170817","운영중","","","","","9.00","110820","","","2017","N","9","휴게음식점","푸드트럭","","","197949.42580200000  ","452453.63418600000  ","3000000-104-2017-00167","영업"
"1326","강정이네","경기도 부천시 춘의동 8번지 부천종합운동장 주경기장 내 북1문 옆 공간 ","경기도 부천시 소사로 482 (춘의동, 부천종합운동장 주경기장 내 북1문 옆 공간)","20170623","운영중","","","","","10.00","","","","2017","N","10","휴게음식점","푸드트럭","","","182093              ","444294              ","3860000-104-2017-00237","영업"
