NUM,가게명,x,y,주소
62,정직유부,394723,210655,경상남도 양산시 평산동 283번지 웅상체육공원 
63,시카고그릴링,394723,210655,경상남도 양산시 평산동 283번지 웅상체육공원 
64,플로라,359522.2028,222329.6597,경상남도 밀양시 삼문동 1-4번지 밀양강둔치 제방일원 
65,종가쿡,330146.5873,148146.9633,경상남도 통영시 도남동 291번지 외 1필지 
66,추가푸드,330146.5873,148146.9633,경상남도 통영시 도남동 291번지 외 1필지 
67,미미,330146.5873,148146.9633,경상남도 통영시 도남동 291번지 외 1필지 
68,통영오빠야푸드트럭,330947.8923,148443.4489,경상남도 통영시 도남동 219번지 외 1필지 
69,통영푸드트럭3호,330146.5873,148146.9633,경상남도 통영시 도남동 291번지 외 1필지 
70,탐앤탐스,359522.2028,222329.6597,경상남도 밀양시 삼문동 1-4번지 밀양강둔치 제방일원 
71,미술관속카페엑스포점,327800.6287,174455.9774,경상남도 고성군 회화면 당항리 112-2번지 
72,소란한보통날당항포점,327800.6287,174455.9774,경상남도 고성군 회화면 당항리 112-2번지 
73,퀸즈커피,377769.4336,205980.499,경상남도 양산시 원동면 서룡리 586-3번지 서룡수변공원내 
74,커피&달콤토스트,373018.1573,209302.6606,경상남도 양산시 원동면 용당리 567번지 원동문화생태공원 내 
75,입곡공원푸드,331767,197029,경상남도 함안군 산인면 입곡리 1181-1번지 
76,행복마차,308540.346,211455.0156,경상남도 의령군 궁류면 벽계리 산 200번지 
77,골드스타(Gold Star),348274.4213,155140.7963,경상남도 거제시 고현동 717번지 거제시청 
78,창원졸음쉼터푸드트럭,346543.5827,197172.505,경상남도 창원시 의창구 동정동 495번지 남해1지선(창원-부산)졸음쉼터 
79,핑카,355577.1095,150258.693,경상남도 거제시 일운면 소동리 457-10번지 지세포항 친수공간 
80,석꾼 닭꼬치,370850.2051,194739.2812,경상남도 김해시 봉황동 431번지 김해민속박물관 
81,콩지커피,370850.2051,194739.2812,경상남도 김해시 봉황동 431번지 대성동 고분군 일원 
82,청춘스넥,286114.2789,173091.8966,경상남도 사천시 곤양면 맥사리 165-7번지 
83,꿀삐닭강정,349545.5853,156020.5537,경상남도 거제시 양정동 981번지 거제시보건소 
84,로컬푸드트럭,349169.6304,210027.261,경상남도 창녕군 부곡면 학포리 131-22번지 
85,케밥유니벌시티(Kebab University),373842.992,209763.852,경상남도 양산시 원동면 용당리 16-23번지 
86,무라쫌,,,경상남도 양산시 원동면 영포리 16-23번지 원동매화축제 원동교 특설무대 
87,포치트럭,,,경상남도 진주시 장대동 0번지 남강둔치 푸드트럭구역 
88,쉬림프블로썸,,,경상남도 진주시 장대동 356-15번지 유등축제푸드트럭존 
89,엔제리너스 창원컨벤션센터점,350895.0882,194828.9404,경상남도 창원시 의창구 대원동 123번지 창원컨벤션센터 
90,솔푸드,383681,206067,경상남도 양산시 물금읍 범어리 2764번지 (워터파크 B구역) 
91,더트레일러독,383681,206067,경상남도 양산시 물금읍 범어리 2764번지 (워터파크 A구역) 
92,대디스트럭,314318.7847,202838.7357,
93,호호아지메,382303.0762,201055.1486,경상남도 양산시 물금읍 증산리 380-1번지 푸드트럭황산D 1층 
94,동원과학기술대2호점,388192.5021,207548.2128,경상남도 양산시 명곡동 922-2번지 본관 버스승강장 앞 1층 제14호동 
95,아홉등 아홉골,296373.9407,141751.9476,경상남도 남해군 삼동면 물건리 산 271-3번지 
96,먹방트럭,331795.7609,150527.7562,경상남도 통영시 정량동 682-1번지 외1필지 
97,일루미아1,370597.9868,186043.5966,"경상남도 김해시 수가동 1333번지 부37 공원서비스센터 옆, 호스스토리랜드 내 "
98,일루미아2,370597.9868,186043.5966,"경상남도 김해시 수가동 1333번지 호스스토리랜드 내,부37 공원서비스센터 옆 "
99,아이스크림카페,350895.0882,194828.9404,경상남도 창원시 의창구 대원동 123번지 창원컨벤션센터 
100,고룡이푸드,327800.6287,174455.9774,"경상남도 고성군 회화면 봉동리 950-1번지 회화면 봉동리 950-1(A구역,B구역)10㎡*2개소 "
101,쉐프트럭,377769.4336,205980.499,경상남도 양산시 원동면 서룡리 586-3번지 푸드트럭서룡A 
102,티로스,351183.4621,187170.0724,경상남도 창원시 진해구 태백동 98번지 
103,파크푸드,358069.907,221730.4633,경상남도 밀양시 삼문동 631번지 밀양강 하천부지내(파크골프장 일원) 
104,거유와플,355562.4941,156320.5676,경상남도 거제시 옥포동 산 71-27번지 
105,꿀삐닭강정,355562.4941,156320.5676,경상남도 거제시 옥포동 산 71-27번지 
106,온더로드,355562.4941,156320.5676,경상남도 거제시 옥포동 산 71-27번지 
107,힐링카페,331795.7609,150527.7562,경상남도 통영시 정량동 682-1번지 외1필지 이순신 공원내 
108,온더로드,339966.0768,156890.3635,경상남도 거제시 사등면 지석리 25번지 거제시 추모의집 
