,광역시도,행정구역,푸드트럭 수,인구수,shortName,x,y,면적
150,대구광역시,남구,1.0,154414.0,대구남구,9.0,14.0,17.44
151,전라남도,고흥군,1.0,59975.0,고흥,3.0,22.0,775.85
152,경상북도,문경시,1.0,67919.0,문경,9.0,8.0,912.0
153,경기도,시흥시,1.0,381412.0,시흥,3.0,5.0,134.4
154,전라남도,신안군,1.0,34396.0,신안,0.0,19.0,653.13
155,경기도,여주시,1.0,100669.0,여주,9.0,7.0,608.64
156,충청북도,음성군,1.0,86441.0,음성,5.0,10.0,521.05
157,강원도,삼척시,1.0,63986.0,삼척,11.0,8.0,1185.8
158,전라남도,화순군,1.0,58331.0,화순,4.0,19.0,786.23
159,서울특별시,관악구,1.0,484478.0,서울관악,5.0,6.0,29.6
160,전라북도,김제시,1.0,78991.0,김제,3.0,15.0,545.06
161,경상북도,칠곡군,1.0,112446.0,칠곡,9.0,12.0,451.0
162,경상남도,함양군,1.0,36371.0,함양,6.0,16.0,725.03
163,광주광역시,광산구,1.0,389386.0,광주광산,2.0,19.0,222.88
164,인천광역시,연수구,1.0,299734.0,인천연수,1.0,8.0,33.76
165,충청남도,태안군,1.0,56489.0,태안,1.0,9.0,504.82
166,강원도,속초시,0,76733.0,속초,9.0,1.0,105.25
167,강원도,영월군,0,34966.0,영월,10.0,8.0,1127.36
168,강원도,태백시,0,44175.0,태백,11.0,7.0,303.57
169,강원도,화천군,0,23612.0,화천,7.0,0.0,909.45
170,경기도,구리시,0,175676.0,구리,9.0,4.0,33.3
171,경기도,포천시,0,140159.0,포천,8.0,1.0,826.38
172,경상북도,고령군,0,31189.0,고령,7.0,13.0,383.7
173,경상북도,군위군,0,20596.0,군위,9.0,11.0,614.15
174,경상북도,김천시,0,127941.0,김천,8.0,11.0,1009.56
175,경상북도,봉화군,0,30287.0,봉화,11.0,9.0,1201.0
176,경상북도,성주군,0,38277.0,성주,8.0,12.0,616.28
177,경상북도,안동시,0,157317.0,안동,10.0,10.0,1519.0
178,경상북도,영양군,0,16009.0,영양,11.0,10.0,815.11
179,경상북도,영주시,0,101612.0,영주,10.0,9.0,668.45
180,경상북도,영천시,0,91214.0,영천,10.0,12.0,919.76
181,경상북도,예천군,0,40779.0,예천,9.0,9.0,660.7
182,경상북도,울릉군,0,8392.0,울릉,13.0,6.0,72.82
183,경상북도,울진군,0,46748.0,울진,12.0,9.0,989.06
184,경상북도,청도군,0,38571.0,청도,8.0,13.0,696.52
185,경상북도,청송군,0,23804.0,청송,11.0,11.0,842.45
186,광주광역시,남구,0,213743.0,광주남구,2.0,21.0,61.07
187,대전광역시,동구,0,236524.0,대전동구,5.0,13.0,136.8
188,부산광역시,강서구,0,84722.0,부산강서,8.0,18.0,179.05
189,부산광역시,남구,0,271753.0,부산남구,11.0,19.0,25.91
190,부산광역시,서구,0,107107.0,부산서구,9.0,18.0,13.67
191,부산광역시,수영구,0,168618.0,부산수영,11.0,18.0,10.16
192,서울특별시,동대문구,0,342429.0,서울동대문,7.0,4.0,14.2
193,서울특별시,성북구,0,434061.0,서울성북,6.0,2.0,24.57
194,서울특별시,용산구,0,208603.0,서울용산,6.0,5.0,21.87
196,세종특별자치시,세종특별자치시,33.0,191233.0,세종,4.0,11.0,465.23
197,울산광역시,북구,0,180756.0,울산북구,12.0,13.0,80.41
198,인천광역시,미추홀구,6.0,388535.0,인천미추홀,2.0,7.0,24.47
199,인천광역시,동구,0,68950.0,인천동구,1.0,5.0,7.05
200,인천광역시,옹진군,0,17735.0,인천옹진,0.0,8.0,164.3
201,전라남도,강진군,0,33413.0,강진,1.0,22.0,495.98
202,전라남도,곡성군,0,26245.0,곡성,3.0,18.0,547.37
203,전라남도,광양시,0,138071.0,광양,5.0,20.0,446.08
204,전라남도,구례군,0,23189.0,구례,4.0,18.0,443.01
205,전라남도,나주시,0,85081.0,나주,1.0,20.0,603.69
206,전라남도,담양군,0,39718.0,담양,2.0,18.0,455.09
207,전라남도,목포시,0,229134.0,목포,0.0,20.0,47.32
208,전라남도,순천시,0,254751.0,순천,4.0,20.0,907.35
209,전라남도,영광군,0,48141.0,영광,1.0,17.0,472.97
210,전라남도,영암군,0,52823.0,영암,1.0,21.0,544.48
211,전라남도,장성군,0,38578.0,장성,2.0,17.0,518.65
212,전라남도,진도군,0,28133.0,진도,0.0,22.0,420.32
213,전라남도,해남군,0,65184.0,해남,0.0,21.0,887.47
214,전라북도,무주군,0,22417.0,무주,5.0,15.0,631.68
215,전라북도,순창군,0,25542.0,순창,3.0,17.0,495.75
216,전라북도,완주군,0,87465.0,완주,4.0,15.0,821.0
217,전라북도,임실군,0,24973.0,임실,4.0,17.0,596.88
218,전라북도,장수군,0,20492.0,장수,5.0,16.0,533.64
219,전라북도,정읍시,0,104307.0,정읍,2.0,16.0,692.8
220,전라북도,진안군,0,21917.0,진안,4.0,16.0,788.94
221,충청남도,계룡시,0,37690.0,계룡,4.0,12.0,60.7
222,충청남도,논산시,0,112516.0,논산,3.0,12.0,554.98
223,충청남도,보령시,0,96133.0,보령,2.0,11.0,568.22
224,충청남도,서산시,0,158771.0,서산,1.0,10.0,739.15
225,충청남도,홍성군,0,87904.0,홍성,2.0,10.0,443.9
226,충청북도,단양군,0,27130.0,단양,7.0,10.0,781.07
227,충청북도,보은군,0,30685.0,보은,7.0,12.0,584.45
228,충청북도,영동군,0,46524.0,영동,6.0,14.0,845.01
229,충청북도,옥천군,0,47599.0,옥천,6.0,13.0,537.13
230,충청북도,증평군,0,34480.0,증평,6.0,11.0,81.84
