EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
KIMJANG	1	20141031	1120000000	서울특별시	성동구			2524.112244	1596.287096	927.825148	131.780798	129.451923	119.947313	114.081351	85.725114	19.221328	149.71535	171.494706	166.287132	121.355611	149.771383	141.072249	67.738965	9.800768	18.843105	131.780798	127.823462	126.170486	94.651883	55.488267	35.702056	57.803601	42.972347	30.476972	23.472838	36.146818	20.180895	41.049246	71.513726	32.591753
KIMJANG	1	20141031	1147000000	서울특별시	양천구			2477.826156	1569.406216	908.41994	119.579276	119.47023	113.084609	91.390818	36.508475	30.519697	105.405614	103.272797	157.289186	230.17699	157.754235	141.897626	83.64447	7.877417	71.534776	119.579276	119.242516	113.896042	51.210477	0.727617	74.170274	75.764274	1.914296	35.003423	29.163033	12.209546	12.393215	69.328193	98.148478	95.66928
KIMJANG	1	20141031	1156000000	서울특별시	영등포구			2579.815201	1525.891324	1053.923877	111.217418	109.787742	109.078911	99.422587	74.709608	49.029494	186.11024	190.495382	184.311131	126.547396	119.588234	70.075173	26.25679	37.604096	31.657122	111.217418	110.745865	106.41779	81.873008	46.308303	64.167245	133.957084	78.476025	60.893406	20.73932	17.096048	15.97273	48.140452	85.360097	72.559086
KIMJANG	1	20141031	1121500000	서울특별시	광진구			2445.439014	1564.013766	881.425248	125.192525	123.256744	115.194985	112.447203	83.773655	12.21027	109.917554	85.687737	174.295135	138.029212	212.688704	182.802295	80.637575	7.071027	0.809145	125.192525	122.129537	112.248486	103.53233	44.749671	31.458447	52.056532	26.370596	45.495432	16.458711	12.614557	34.925723	48.319732	56.67614	49.196829
KIMJANG	1	20141031	1130500000	서울특별시	강북구			2528.838054	1606.081948	922.756106	128.69862	126.910411	123.235236	114.611624	55.822927	35.107682	100.52016	142.262675	186.276603	100.301483	129.223208	190.586645	119.11824	40.116078	13.290356	128.69862	124.243969	120.480618	97.367927	17.201842	55.349363	54.196021	33.474663	38.83929	18.56234	20.484576	6.504332	53.378688	68.982312	84.991545
KIMJANG	1	20141031	1162000000	서울특별시	관악구			2527.359795	1484.928177	1042.431618	111.594689	110.719052	106.337765	97.876384	64.940655	41.470908	250.682809	196.567235	138.678972	91.009572	92.06841	87.634336	54.223528	4.057633	37.066229	111.594689	110.719052	101.670809	90.371373	32.287489	74.065077	117.117201	64.830528	51.273688	12.405574	29.266233	20.693069	63.735879	80.596538	81.804419
KIMJANG	1	20141031	1117000000	서울특별시	용산구			2528.163582	1459.287134	1068.876448	123.518571	122.292984	116.911511	96.829938	83.754696	20.548662	153.575196	157.126967	235.342335	131.236876	66.315484	85.341594	15.47619	49.688237	1.327893	123.518571	122.730446	117.192737	81.244499	43.053402	57.357935	117.37698	50.344661	78.790085	27.579296	67.669531	10.834004	39.873125	70.429475	60.881701
KIMJANG	1	20141031	1132000000	서울특별시	도봉구			2390.209402	1595.331914	794.877488	117.892065	116.96226	114.406129	96.143291	56.778209	26.364362	86.868345	59.160821	124.510455	140.363798	169.950931	246.571535	156.007186	66.74923	16.603297	117.892065	116.745638	111.370099	84.875653	5.249011	68.432211	42.37434	0.636644	1.269845	12.254209	5.532062	2.219424	61.663852	86.052073	78.310362
KIMJANG	1	20141031	1159000000	서울특별시	동작구			2538.551397	1542.428267	996.12313	120.092901	117.544106	117.111292	107.533888	73.763274	27.208237	190.30155	186.91302	162.971359	127.550872	107.156809	96.521415	74.706834	3.528978	29.523732	120.092901	119.068204	112.235657	86.836485	24.58151	81.513486	114.037447	53.528526	46.866145	8.815232	16.121285	4.512983	57.442105	71.584405	78.886759
KIMJANG	1	20141031	1174000000	서울특별시	강동구			2540.393415	1639.035614	901.357801	112.682099	111.715114	109.263246	99.883132	63.420199	45.671621	160.380647	145.267434	163.756038	169.608652	128.513608	173.874974	102.510046	5.025665	47.463139	112.682099	110.509099	106.105154	77.620751	43.627795	54.38535	82.293907	38.47175	0.437015	15.777184	12.521307	11.177668	60.754653	84.55262	90.441449
