EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
DRUM	1	20140829	1150000000	서울특별시	강서구			2574.782739	1585.343484	989.439255	117.308284	115.905718	107.793676	103.407535	56.655337	32.459349	109.557649	151.25276	182.915775	150.767393	132.619689	165.603185	84.95029	40.978242	33.168602	117.308284	116.865744	108.996386	84.506799	21.248577	63.272974	116.038718	27.873351	2.373775	19.283081	7.445139	46.944441	73.218463	98.21126	85.852263
DRUM	1	20140829	1117000000	서울특별시	용산구			2588.389925	1423.275953	1165.113972	128.632166	126.601971	116.987906	95.310118	63.837897	10.092252	190.167218	140.255455	190.028794	136.262177	51.635751	75.570245	30.377426	49.085424	18.431153	128.632166	127.4367	118.640586	66.631512	29.316188	73.91337	112.457718	69.446101	98.556754	50.066965	65.364737	6.912731	63.678501	90.435972	63.623971
DRUM	1	20140829	1126000000	서울특별시	중랑구			2327.06091	1619.296967	707.763943	122.392547	118.946229	119.847017	105.386154	73.850534	11.056768	74.851856	67.943134	83.956248	123.381805	182.717188	253.69445	180.58988	62.522322	38.160835	122.392547	121.053429	115.226458	102.643576	23.068616	38.566993	19.461442	17.277835	0.006032	9.898614	20.406466	1.176253	22.364875	49.621752	44.599055
DRUM	1	20140829	1156000000	서울특별시	영등포구			2579.179885	1521.869897	1057.309988	108.701599	107.109222	108.222746	100.625701	79.024096	23.199682	175.554841	159.775485	221.080107	152.528078	105.486441	66.608114	43.664961	29.496983	40.791841	108.701599	108.659795	104.642748	77.914373	40.499208	92.72462	97.779184	79.620763	71.567666	12.205058	17.506649	26.810084	54.990221	88.85199	74.83603
DRUM	1	20140829	1162000000	서울특별시	관악구			2490.820911	1428.606961	1062.21395	112.946488	112.537774	103.383372	103.65717	45.838014	46.948023	249.229758	182.026047	176.458808	68.804307	65.467137	76.764311	45.007623	13.028721	26.509408	112.946488	111.644952	108.228419	77.507404	22.565119	83.764037	132.004205	57.257141	48.650337	31.600478	20.013632	18.148625	62.892899	94.89561	80.094604
DRUM	1	20140829	1120000000	서울특별시	성동구			2537.64923	1572.435417	965.213813	132.155509	130.177206	125.774189	117.076233	80.061758	18.533865	131.569694	153.612972	179.979384	136.499004	144.069186	125.207168	81.637508	6.104859	9.976882	132.155509	128.913159	125.337176	95.347792	50.471793	55.139524	66.304485	71.839975	35.00876	20.00937	24.905787	8.426193	53.380509	57.576768	40.397013
DRUM	1	20140829	1159000000	서울특별시	동작구			2530.770977	1512.104845	1018.666132	120.984973	120.919434	118.844025	110.621037	62.607	43.557807	214.514692	178.647258	140.717522	121.798534	100.511394	85.459218	70.634244	4.811017	17.47669	120.984973	120.202872	117.410901	87.97505	24.725328	57.33852	119.439121	43.16894	60.436342	21.894908	2.455973	12.591833	55.218545	89.076109	85.746717
DRUM	1	20140829	1121500000	서울특별시	광진구			2436.024867	1584.168611	851.856256	122.52518	122.232574	119.2615	115.074985	67.186659	10.106306	135.54419	142.791813	168.923767	136.133905	178.062075	184.071748	79.642965	0.490527	2.120417	122.52518	120.657004	117.073708	98.788092	50.760216	25.402842	52.997825	44.939909	21.324365	21.099284	9.142658	14.851023	45.331251	61.658658	45.304241
DRUM	1	20140829	1147000000	서울특별시	양천구			2441.265061	1518.163924	923.101137	109.043653	109.043653	103.502506	94.029322	37.746749	33.110575	118.760423	84.977167	211.221769	235.439085	141.126655	135.569377	52.202126	4.186913	48.203951	109.043653	107.575693	105.418114	93.767186	5.763761	77.472017	75.10473	4.209497	33.239626	12.458306	8.786792	40.686702	65.650097	100.070543	83.85442
DRUM	1	20140829	1132000000	서울특별시	도봉구			2470.817073	1616.108529	854.708544	118.940447	117.133929	114.171772	104.444028	61.01676	54.308143	122.211956	105.84703	146.586662	141.105121	159.679486	212.44486	115.406521	30.017565	12.794249	118.940447	118.417974	110.058402	89.327725	4.864167	92.422126	48.490094	3.017799	6.550546	1.84002	0.338427	26.542379	55.048166	90.532071	88.318201
