EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
HISEOUL	1	20140917	1123000000	서울특별시	동대문구			2531.070397	1445.572218	1085.498179	120.282072	120.058774	116.702105	105.604449	60.306228	51.289803	184.925078	172.706131	187.023596	92.928823	58.332084	92.234919	56.01267	2.992669	24.172817	120.282072	118.908671	116.200286	90.27134	12.215105	108.977445	139.878966	63.170201	42.847709	22.873849	0.805793	20.345542	53.931438	88.297676	86.492086
HISEOUL	1	20140917	1132000000	서울특별시	도봉구			2444.655486	1607.227223	837.428263	113.441962	112.594575	112.125856	100.39404	64.374293	29.593378	97.153494	87.178795	112.514993	155.311533	148.229958	243.619946	157.144846	56.167178	17.382376	113.441962	113.197213	104.432408	91.957107	7.760947	77.626635	48.275158	5.704897	3.806933	3.94193	7.086732	18.811621	71.398143	87.669371	82.317206
HISEOUL	1	20140917	1117000000	서울특별시	용산구			2501.728136	1466.121462	1035.606674	121.212886	119.798326	116.714486	99.789224	62.038768	27.449474	145.755669	197.02111	215.548881	150.033972	80.807079	72.804428	18.526864	36.185949	2.434346	121.210413	118.853637	116.3559	79.075315	26.82809	59.469972	115.810025	52.36255	63.298188	24.373054	27.602801	14.356714	64.029539	78.580713	73.399763
HISEOUL	1	20140917	1162000000	서울특별시	관악구			2488.185292	1428.127276	1060.058016	106.38962	105.624308	105.367742	100.300013	65.771043	52.266896	260.613903	171.993347	161.511417	78.987047	65.597368	70.96552	73.623281	2.686049	6.429722	106.38962	106.133054	103.723087	89.129521	38.603546	83.245606	142.679027	56.268888	23.654296	18.679107	23.308261	29.104023	72.781657	85.156036	81.202287
HISEOUL	1	20140917	1130500000	서울특별시	강북구			2557.65812	1567.661562	989.996558	131.951709	130.985189	127.498028	113.85142	53.619634	26.642736	113.915123	135.83756	177.985531	120.397948	92.69561	145.206217	127.498577	60.910272	8.666008	131.951709	127.023005	121.899349	92.365565	8.423829	78.000108	88.958581	49.787052	41.228405	3.045362	2.573086	5.480884	54.954091	86.102404	98.203128
HISEOUL	1	20140917	1159000000	서울특별시	동작구			2493.20854	1509.012641	984.195899	114.551114	113.556197	106.78876	105.831246	71.066473	29.313005	205.306238	187.657045	192.554334	105.622454	76.685057	127.171527	44.710543	9.324217	18.874431	114.551114	114.49127	105.724024	95.041748	22.854102	63.908218	111.562039	38.519112	45.588265	16.516217	1.490216	35.528707	48.791784	82.130258	87.498825
HISEOUL	1	20140917	1126000000	서울특별시	중랑구			2550.412424	1573.037802	977.374622	119.400235	118.679777	115.943248	95.93995	52.506639	30.394438	124.995387	123.969188	152.091257	103.623824	136.201835	190.620614	134.860815	60.290408	13.520187	119.400235	119.382072	114.926132	92.843193	12.369876	97.393983	104.534992	15.228499	1.000972	7.705064	30.756685	9.902762	83.334967	74.792396	93.802794
HISEOUL	1	20140917	1120000000	서울특별시	성동구			2529.277224	1472.624645	1056.652579	114.618876	112.903031	110.102727	98.530279	46.92634	44.162477	173.792017	232.805947	182.295237	103.834098	92.033651	62.498916	44.022169	17.023298	37.075582	114.618876	112.181032	108.419037	79.153225	33.202509	93.004111	96.815799	80.920125	57.342615	1.11145	12.290842	20.440371	75.095999	89.436598	82.61999
HISEOUL	1	20140917	1174000000	서울특별시	강동구			2565.413108	1626.198326	939.214782	107.111063	106.331031	104.754431	97.100202	64.53183	58.602857	157.540037	175.30711	186.161396	158.499228	111.264614	134.999064	98.599443	4.758834	60.637186	107.111063	104.528415	103.067579	96.058323	30.359294	51.494374	109.635644	34.55419	6.048596	5.023438	32.365877	23.895784	56.381468	87.924499	90.766238
HISEOUL	1	20140917	1153000000	서울특별시	구로구			2500.146512	1512.878172	987.26834	110.674118	110.423762	105.831021	91.65856	64.602827	27.781477	172.375116	204.90703	216.624851	118.485231	53.651615	110.151536	51.378266	17.306806	57.025956	110.674118	110.101464	105.511601	89.485929	17.371841	51.125032	116.407562	65.593892	44.284842	2.600827	23.265283	13.645275	48.416006	93.143431	95.641237
