EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
KIMJANG	1	20151023	1156000000	서울특별시	영등포구	2565.475951	1504.091387	1061.384564	107.167522	107.049075	101.354152	85.008491	74.556744	21.66945	170.566576	196.440099	189.982379	176.512606	100.877207	58.586955	27.803416	50.540468	35.976247	107.167522	105.267635	100.738229	70.093668	48.929591	80.428548	111.044682	99.972273	76.657201	2.114671	32.04855	29.433245	43.907446	82.02837	71.552933
KIMJANG	1	20151023	1147000000	서울특별시	양천구	2515.440188	1548.396607	967.043581	111.541925	111.415363	96.987234	96.961921	65.007412	24.1483	114.807576	132.799706	154.857026	251.029366	176.904219	63.494061	21.166487	60.213223	67.062788	111.541925	111.324238	97.680797	69.578851	6.449458	93.317258	87.368819	34.111303	53.444996	28.593177	21.6778	17.941336	69.234601	92.825858	71.953164
KIMJANG	1	20151023	1117000000	서울특별시	용산구	2545.215913	1483.44983	1061.766083	120.312723	118.896213	117.145	106.440486	72.169305	7.828659	111.229924	169.653501	228.011333	164.507445	93.646071	66.559048	4.740627	57.639615	44.66988	120.312723	119.37436	112.399392	41.597786	48.447241	57.205299	88.523922	100.304267	104.559774	49.429434	21.236696	13.000615	53.055382	74.781183	57.538009
KIMJANG	1	20151023	1132000000	서울특별시	도봉구	2594.909929	1578.07212	1016.837809	118.576856	118.526182	115.099325	94.531848	45.960424	67.746621	143.118473	130.240839	135.504643	189.054829	168.905414	83.816743	41.421264	59.51583	66.052829	118.576856	115.568063	112.223552	74.965191	11.707056	138.500768	70.236001	48.249641	18.757133	47.084129	5.598256	3.111409	71.823377	86.823003	93.613374
KIMJANG	1	20151023	1162000000	서울특별시	관악구	2499.36126	1425.517243	1073.844017	107.348349	107.070128	102.531654	93.825666	68.895936	73.35017	204.339935	223.769009	140.847661	107.484367	68.487106	31.599684	26.322379	32.043291	37.601908	107.348349	106.971592	97.233869	76.773058	26.061547	135.700579	145.797671	98.088625	20.215822	5.705069	26.64697	12.6374	52.10416	80.134891	82.424415
KIMJANG	1	20151023	1123000000	서울특별시	동대문구	2564.556456	1486.769312	1077.787144	123.181348	123.167791	105.292827	88.543097	53.586256	61.452053	202.418211	134.043253	217.89358	101.79782	78.330574	71.192791	12.501629	54.840283	58.527799	123.181348	120.707187	109.95645	82.591554	13.1483	102.624801	117.503658	59.872658	58.998228	39.150714	23.851588	10.644314	42.428807	98.236385	74.891152
KIMJANG	1	20151023	1120000000	서울특별시	성동구	2550.052632	1505.665878	1044.386754	125.455359	116.715968	92.400729	86.064671	71.616485	29.506719	167.412891	172.501471	211.159178	116.224026	119.712734	54.265976	32.211702	50.148596	60.269373	125.455359	121.882076	101.302221	56.104067	8.530773	50.73498	127.084833	121.509946	67.91775	34.799689	2.196124	19.927219	59.057136	82.258807	65.625774
KIMJANG	1	20151023	1159000000	서울특별시	동작구	2525.72928	1481.791349	1043.937931	111.502152	111.495875	96.430872	98.339106	78.86759	42.958064	172.805831	194.737965	189.069757	118.408619	141.07517	10.932379	23.668584	49.52222	41.977165	111.502152	111.502152	98.037806	69.39547	59.829193	66.873756	151.626949	62.969409	61.695161	15.464434	7.461152	3.117409	55.993894	86.93992	81.529074
KIMJANG	1	20151023	1130500000	서울특별시	강북구	2607.099884	1453.464526	1153.635358	135.459342	135.351925	117.850646	96.858317	25.802048	59.172381	120.622513	130.75039	206.057299	145.174945	92.724812	74.924301	16.418415	49.13453	47.162662	135.459342	134.945276	118.79438	83.362153	27.246549	113.111004	108.906401	87.691565	65.287471	31.382099	24.093096	16.405116	50.638366	80.039902	76.272638
KIMJANG	1	20151023	1153000000	서울특별시	구로구	2523.665388	1443.251411	1080.413977	110.20868	110.20868	100.94113	92.938943	71.399488	42.377188	179.022302	196.680838	207.121855	114.467558	58.211903	32.579457	16.387988	45.152033	65.553368	110.20868	109.211941	95.936229	70.862239	2.132974	74.598006	138.799297	96.024356	88.347347	31.469613	10.577213	6.80233	58.873097	90.07597	96.494685
KIMJANG	1	20151023	1121500000	서울특별시	광진구	2546.032935	1514.283987	1031.748948	111.918691	109.796586	107.905458	85.414026	48.132818	53.547796	212.741802	100.407352	211.983908	160.302698	100.306299	62.187797	8.765595	75.330416	65.542745	111.918691	107.284706	110.467864	76.766807	9.59567	85.090658	81.900282	67.514716	101.2663	21.889446	2.211609	13.877415	72.414325	90.488313	79.062146
