EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
LAMP	1	20151023	1120000000	서울특별시	성동구	2631.336463	1543.912173	1087.42429	147.407695	139.253829	124.1339	105.249618	55.951327	20.648571	208.884092	169.378478	174.562836	138.057988	119.53094	52.665668	2.460896	48.699478	37.026857	147.407695	142.250129	121.503765	84.36036	1.017671	63.30231	91.358575	76.658395	67.946352	14.495216	27.270796	16.446606	61.966255	99.600856	71.839309
LAMP	1	20151023	1132000000	서울특별시	도봉구	2788.871565	1624.917264	1163.954301	145.455557	145.404625	142.947118	125.770034	48.360683	93.635689	132.246987	93.729065	132.845447	180.119565	140.871606	98.474304	36.489099	58.585441	49.982044	145.455557	142.085505	139.343623	99.942866	40.771698	154.190531	61.149058	18.615935	22.410427	40.228415	7.355544	11.621164	79.837147	108.007224	92.939607
LAMP	1	20151023	1156000000	서울특별시	영등포구	2666.838005	1587.804557	1079.033448	121.74628	120.400851	120.23641	105.679612	74.962713	57.651771	180.261493	220.32165	173.227888	161.391847	88.533111	58.892556	14.732327	50.341356	39.424692	121.74628	119.761772	117.411008	90.674338	25.753635	103.358996	96.512255	64.008925	51.488957	11.409863	11.701373	29.08731	57.644048	93.219441	85.255247
LAMP	1	20151023	1147000000	서울특별시	양천구	2631.65449	1648.275016	983.379474	128.011624	126.685968	119.400869	112.592365	65.529582	61.493074	119.673742	135.669723	174.658421	245.374749	148.59787	83.516581	13.104634	46.922341	67.043473	128.011624	126.525768	123.201616	99.395882	10.517403	92.207437	67.188187	25.516137	22.456316	5.85558	4.012746	20.481315	77.188144	100.373103	80.448216
LAMP	1	20151023	1117000000	서울특별시	용산구	2666.913419	1546.429116	1120.484303	139.507634	138.751903	134.269473	117.279695	76.474943	20.206674	158.35903	163.847525	188.659122	175.547188	94.584777	65.937848	17.835568	29.468472	25.699264	139.507634	139.087259	134.118327	79.016088	31.674262	67.746879	99.360052	53.402159	86.087527	23.838905	4.435512	48.518247	58.006766	84.86828	70.816406
LAMP	1	20151023	1162000000	서울특별시	관악구	2520.572914	1481.17221	1039.400704	113.443139	113.326246	107.630717	104.631797	70.531178	95.88871	256.016511	226.244977	117.425306	93.357364	73.650754	52.295543	2.680621	39.860775	14.188572	113.443139	112.854641	109.509072	90.141049	10.367367	125.184608	102.785419	53.782911	19.839493	13.938662	44.830759	24.245433	61.510234	86.521386	70.446531
LAMP	1	20151023	1126000000	서울특별시	중랑구	2721.232017	1532.050124	1189.181893	147.051212	146.483971	142.746261	96.485766	16.428875	74.106774	208.319947	160.960423	120.276106	120.883863	104.281947	94.765474	0.73353	39.933906	58.592069	147.051212	146.919531	144.939253	107.840706	51.234824	127.245062	96.249416	43.141516	21.8548	6.822925	10.057548	21.296001	75.740967	94.156028	94.632104
LAMP	1	20151023	1121500000	서울특별시	광진구	2639.332081	1549.875157	1089.456924	130.215338	128.237454	128.285345	113.506288	43.298583	75.771961	196.063717	98.189578	184.402341	141.698241	145.634853	74.000007	2.288535	53.393933	34.888983	130.215338	128.136884	128.831298	97.003167	1.804839	108.854828	95.790257	33.393518	69.594066	39.552256	2.845344	7.160292	71.439133	88.761185	86.074519
LAMP	1	20151023	1159000000	서울특별시	동작구	2576.947349	1517.483582	1059.463767	121.790311	121.134035	115.018106	112.197517	81.580635	61.30591	220.799482	184.634512	167.96232	117.768878	106.402744	45.93696	5.024464	44.405651	11.522057	121.790311	121.790311	115.455623	90.852272	55.939344	115.055341	126.984662	25.327116	44.86644	6.155492	2.608812	13.700334	45.341193	92.569759	81.026757
LAMP	1	20151023	1174000000	서울특별시	강동구	2684.560025	1624.363016	1060.197009	128.764161	126.947587	126.611916	112.982675	56.580027	60.465587	182.872068	164.104094	191.051588	148.357162	85.300324	100.662222	47.660715	35.131619	56.871271	128.764161	128.729607	125.219868	89.140141	10.633211	97.695482	105.712101	37.472105	45.148116	4.34431	10.627616	38.290879	59.008707	95.917739	83.492966
